id;start_date;end_date;language
1;2024-06-26T09:03:01;2024-06-26T06:09:49;SPANISH
2;2024-06-26T15:28:07;2024-06-25T18:25:20;SPANISH
3;2024-06-25T23:50:21;2024-06-26T02:20:31;SPANISH
4;2024-06-26T02:01:51;2024-06-25T23:02:48;ENGLISH
5;2024-06-26T00:21:21;2024-06-25T17:36:53;ENGLISH
6;2024-06-26T12:58:52;2024-06-25T19:58:10;FRENCH
7;2024-06-26T09:04:17;2024-06-26T15:13:28;SPANISH
8;2024-06-26T12:07:49;2024-06-26T02:30:37;FRENCH
9;2024-06-26T02:36:32;2024-06-25T20:50:58;FRENCH
10;2024-06-26T06:23:20;2024-06-25T23:57:18;FRENCH
