id;street_address;postal_code;city;state_province
1;impassioned;cool yum ha;Doyleville;blah
2;chip bumpy like;plunder;Port Ariane;witter
3;gee;vice badly;South Buck;obi sans
4;regarding overstate meanwhile;therapy;Malden;who duh
5;until;photocopy tomorrow over;Ilenestad;a as
6;toward ferociously;scornful hmph;Kacishire;yet
7;gaffe;strengthen familiarize preload;Janaeside;school unfortunately
8;wetly never obvious;seizure;San Tan Valley;repeatedly mockingly
9;abnormally;authorized;Ninacester;speedy er
10;creamy;label around psst;West Aron;kosher though
